コンデションID,コンディション名称,項目順序,コンディション項目ID,コンディション値,コンディションラベル,登録担当者,登録日付,更新担当者,更新時間
"COD_KEIYAKU_ZYOUKEN_KBN03","契約条件区分03","3","LEASE_DAITAI","06","顧客リース代替","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:53:51"
"COD_KEIYAKU_ZYOUKEN_KBN03","契約条件区分03","4","RENTAL_DAITAI","07","レンタル代替","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:53:51"
"COD_KEIYAKU_ZYOUKEN_KBN04","契約条件区分04","1","MUSYOU","01","無償","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:53:59"
"COD_KEIYAKU_ZYOUKEN_KBN04","契約条件区分04","2","LEASE","02","顧客リース","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:53:59"
"COD_KEIYAKU_ZYOUKEN_KBN04","契約条件区分04","3","BAIKYAKU","03","売却","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:53:59"
"COD_KEIYAKU_ZYOUKEN_KBN04","契約条件区分04","4","RENTAL","04","レンタル","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:53:59"
"COD_KEIYAKU_ZYOUKEN_KBN04","契約条件区分04","5","LEASE_DAITAI","06","顧客リース代替","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:53:59"
"COD_KEIYAKU_ZYOUKEN_KBN04","契約条件区分04","6","RENTAL_DAITAI","07","レンタル代替","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:53:59"
"COD_KEIYAKU_ZYOUKEN_KBN06","契約条件区分06","1","MUSYOU_RENTAL","0","無償・レンタル","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:54:09"
"COD_KEIYAKU_ZYOUKEN_KBN06","契約条件区分06","2","LEASE","1","顧客リース","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:54:09"
"COD_KOGITTE_TEGATA_KBN01","小切手手形区分01","1","KOGITTE","0","小切手","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_KOGITTE_TEGATA_KBN01","小切手手形区分01","2","TEGATA","1","手形","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_KOUIKI_BIKOU_KBN01","広域企業備考区分01","1","KOUKAI","0","公開備考欄","lpa00","2008/07/11 12:59:13","fsol14","2009/12/02 14:54:17"
"COD_KOUIKI_BIKOU_KBN01","広域企業備考区分01","2","HIKOUKAI","1","非公開備考欄","lpa00","2008/07/11 12:59:13","fsol14","2009/12/02 14:54:17"
"COD_KOUIKI_KINOU_KBN01","広域企業機能分類区分01","1","KOUIKI","0","広域企業","lpa00","2008/07/11 12:57:58","fsol14","2009/12/02 14:54:25"
"COD_KOUIKI_KINOU_KBN01","広域企業機能分類区分01","2","GROUP","1","広域企業グループ","lpa00","2008/07/11 12:57:58","fsol14","2009/12/02 14:54:25"
"COD_KOUIKI_KINOU_KBN01","広域企業機能分類区分01","3","SUBGROUP","2","広域企業サブグループ","lpa00","2008/07/11 12:57:58","fsol14","2009/12/02 14:54:25"
"COD_KOUKAI_KBN01","公開区分01","1","KOUKAI","0","公開","lpa00","2008/07/08 11:27:23","fsol14","2009/12/02 14:54:42"
"COD_KOUKAI_KBN01","公開区分01","2","HIKOUKAI","1","非公開","lpa00","2008/07/08 11:27:23","fsol14","2009/12/02 14:54:42"
"COD_KOUZA_SRH_KBN01","口座検索区分01","1","ALL","0","全て","fsol10","2011/01/06 22:40:33","fsol10","2011/01/06 22:40:34"
"COD_KOUZA_SRH_KBN01","口座検索区分01","2","NYUKIN_ALARM","1","入金アラーム","fsol10","2011/01/06 22:40:33","fsol10","2011/01/06 22:40:34"
"COD_KOUZA_SRH_KBN01","口座検索区分01","3","SINKI","2","新規","fsol10","2011/01/06 22:40:33","fsol10","2011/01/06 22:40:34"
"COD_KOUZA_SYUBETU_KBN01","口座種別区分01","1","HUTU","1","普通","lpa00","2008/07/08 11:03:46","fsol14","2009/12/02 14:55:25"
"COD_KOUZA_SYUBETU_KBN01","口座種別区分01","2","TOUZA","2","当座","lpa00","2008/07/08 11:03:46","fsol14","2009/12/02 14:55:25"
"COD_KOUZA_SYUBETU_KBN01","口座種別区分01","3","TYOTIKU","4","貯蓄","lpa00","2008/07/08 11:03:46","fsol14","2009/12/02 14:55:25"
"COD_KOUZA_SYUBETU_KBN01","口座種別区分01","4","SONOTA","9","その他","lpa00","2008/07/08 11:03:46","fsol14","2009/12/02 14:55:25"
