コンデションID,コンディション名称,固定表示位置,固定表示値,固定値標題,備考,登録担当者,登録日付,更新担当者,更新時間
"COD_KAISYU_CYCLE_KBN01","回収サイクル区分01","1"," "," ","","lpa00","2008/07/08 11:23:32","fsol14","2009/12/02 14:51:10"
"COD_KAISYU_CYCLE_KBN02","回収サイクル区分02","0","","","","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_KAISYU_HOUHOU_KBN01","回収方法区分01","0","","","","lpa01","2008/08/18 20:41:24","fsol14","2009/12/02 14:51:19"
"COD_KAISYU_HOUHOU_KBN02","回収方法区分02","0","","","","fsol10","2011/01/06 22:40:34","fsol10","2011/01/20 16:23:40"
"COD_KAIYAKU_RIYU_KBN01","解約理由区分01","1"," ","未設定","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:51:34"
"COD_KANRI_HYOU_NO_KBN01","管理票番号区分01","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:51:42"
"COD_KANRI_KBN01","管理区分01","0","","","","lpa01","2008/08/18 20:21:38","fsol14","2009/12/02 14:51:52"
"COD_KEIHI_HAIHU_KBN01","経費配賦方法区分01","1"," ","なし","","fsol07","2011/02/17 11:07:49","fsol07","2011/02/17 11:07:49"
"COD_KEIHI_KOUZA_KBN01","経費口座区分01","0","","","","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_KEIRI_TOKUSYU_KBN01","経理用特殊区分01","0","","","","fsol10","2011/01/17 13:48:29","fsol10","2011/01/17 13:48:29"
"COD_KEISYO_NEW_KBN01","契約書新規区分01","0","","","","lpa00","2008/07/11 12:56:39","fsol14","2009/12/02 14:52:25"
"COD_KEISYO_SOUHU_KBN01","契約書送付区分01","0","","","","lpa00","2008/07/08 11:13:08","fsol14","2009/12/02 14:52:32"
"COD_KEISYO_STS_KBN01","契約書状態区分01","0","","","","lpa00","2008/07/08 11:14:51","fsol14","2009/12/02 14:52:41"
"COD_KEISYO_ZYURYOU_KBN01","契約書受領区分01","0","","","","lpa00","2008/07/08 11:12:00","fsol14","2009/12/02 14:52:59"
"COD_KEISYO_ZYURYOU_KBN02","契約書受領区分02","0","","","","lpa03","2009/02/03 13:48:21","fsol14","2009/12/02 14:53:09"
"COD_KEIYAKU_SOUHU_KBN01","契約送付区分01","1"," ","","","fsol05","2009/08/13 13:52:16","fsol14","2009/12/02 14:53:17"
"COD_KEIYAKU_TEIKETU_KBN01","契約締結区分01","0","","","","lpa00","2008/07/08 11:19:32","fsol14","2009/12/02 14:53:25"
"COD_KEIYAKU_ZYOUKEN_KBN01","契約条件区分01","1"," ","全て","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:53:34"
"COD_KEIYAKU_ZYOUKEN_KBN02","契約条件区分02","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:53:43"
"COD_KEIYAKU_ZYOUKEN_KBN03","契約条件区分03","1"," "," ","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:53:51"
"COD_KEIYAKU_ZYOUKEN_KBN04","契約条件区分04","1"," "," ","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:53:59"
"COD_KEIYAKU_ZYOUKEN_KBN06","契約条件区分06","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:54:09"
"COD_KOGITTE_TEGATA_KBN01","小切手手形区分01","0","","","","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_KOUIKI_BIKOU_KBN01","広域企業備考区分01","0","","","","lpa00","2008/07/11 12:59:13","fsol14","2009/12/02 14:54:17"
"COD_KOUIKI_KINOU_KBN01","広域企業機能分類区分01","0","","","","lpa00","2008/07/11 12:57:58","fsol14","2009/12/02 14:54:25"
"COD_KOUKAI_KBN01","公開区分01","0","","","","lpa00","2008/07/08 11:27:23","fsol14","2009/12/02 14:54:42"
"COD_KOUZA_SRH_KBN01","口座検索区分01","0","","","","fsol10","2011/01/06 22:40:33","fsol10","2011/01/06 22:40:34"
"COD_KOUZA_SYUBETU_KBN01","口座種別区分01","1"," ","","","lpa00","2008/07/08 11:03:46","fsol14","2009/12/02 14:55:25"
"COD_KOUZA_SYUKAN_KBN01","口座主管区分01","0","","","","lpa00","2008/07/08 11:29:32","fsol14","2009/12/02 14:55:35"
"COD_KOUZA_SYUKAN_KBN02","口座主管区分02","0","","","","fsol10","2011/01/06 22:40:33","fsol10","2011/01/06 22:40:34"
"COD_KOUZA_SYUKAN_KBN03","口座主管区分03","0","","","","fsol10","2011/01/06 22:40:33","fsol10","2011/01/06 22:40:34"
"COD_KURIKOSI_KBN01","繰越区分01","0","","","","sis05","2008/07/10 15:26:59","fsol14","2009/12/02 14:55:45"
"COD_KYOUTEISYO_ERR_KBN01","協定書エラー区分01","0","","","","base00","2009/01/27 17:42:59","fsol14","2009/12/02 14:55:55"
"COD_LEASE_UMU_KBN01","リース有無区分01","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:56:04"
"COD_MASTER_SYUBETU_KBN01","マスタ種別区分01","0","","","","fsol07","2011/02/01 18:48:17","fsol07","2011/02/01 18:48:17"
"COD_MATCH_ZYOUKEN01","条件式区分01","0","","","","wt03","2008/05/20 10:48:28","wt01","2008/07/28 19:44:12"
"COD_MI_KAISYU_KIN_KBN01","未回収金額区分01","0","","","","fsol10","2011/01/06 22:40:33","fsol10","2011/01/06 22:40:34"
"COD_MI_SYURI_RIYU_KBN01","未修理理由区分01","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:56:16"
"COD_MODOSIIRE_SYORI_KBN01","戻入処理区分01","0","","","","fsol07","2011/01/26 14:20:25","fsol07","2011/01/26 14:20:25"
"COD_NEBIKI_MARUME_KBN01","値引丸め区分01","0","","","","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_NEBIKI_ZYOUKEN_KBN01","値引計算条件区分01","0","","","","fsol07","2011/02/01 18:45:48","fsol07","2011/02/01 18:45:48"
"COD_NEW_OLD_KBN01","新品中古区分01","1"," ","全て","","lpa00","2008/07/08 11:09:00","fsol14","2009/12/02 14:56:25"
"COD_NIPPOU_SYUBETU_KBN01","日報種別区分01","0","","","","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_OB_MEI_KANRI_KBN01","覚書明細管理区分01","0","","","","fsol07","2011/02/17 11:36:50","fsol07","2011/02/17 11:36:50"
"COD_OB_MEI_KBN01","覚書明細区分01","0","","","","fsol07","2011/02/17 11:30:00","fsol07","2011/02/17 11:30:00"
"COD_OB_SIHA_HOUHOU_KBN01","覚書支払方法区分01","0","","","","fsol07","2011/02/17 11:28:45","fsol07","2011/02/17 11:28:45"
"COD_OB_SIHA_ZYOUKEN_KBN01","覚書支払条件区分01","0","","","","fsol07","2011/02/17 13:10:07","fsol07","2011/02/17 13:10:07"
"COD_OB_SYOSIKI_KBN01","覚書書式区分01","0","","","","fsol07","2011/02/17 11:33:11","fsol07","2011/02/17 11:33:11"
"COD_OB_TOUROKU_SAKI_KBN01","覚書登録先区分01","0","","","","fsol07","2011/02/17 11:32:07","fsol07","2011/02/17 11:32:07"
"COD_OROSI_MATTAN01","卸末端条件01","1"," "," ","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:56:35"
"COD_OUT_KBN01","出力区分01","0","","","","lpa01","2008/08/18 20:43:51","fsol14","2009/12/02 14:56:45"
"COD_OUT_KBN02","出力区分02","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:56:56"
"COD_OUT_SORT_KBN01","出力順番区分01","0","","","","fsol10","2011/01/06 22:40:34","fsol10","2011/01/13 16:48:13"
"COD_OUT_STS_KBN01","出力状態区分01","1"," ","全て","","sis05","2008/07/01 13:28:36","fsol14","2009/12/02 14:57:05"
"COD_OUT_ZYOUKEN_KBN01","出力条件区分01","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:57:13"
"COD_OUT_ZYOUKEN_KBN02","出力条件区分02","0","","","","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_OYAKO_CALC_HOU_KBN01","親子計算方法区分01","1"," ","","","lpa01","2008/08/18 20:30:36","fsol14","2009/12/02 14:57:24"
"COD_PRT_TEHAI_KBN01","印刷手配区分01","1"," ","全て","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:57:37"
